method,feature,raw_score,normalized_score,ranking,method_type
Random Forest,ch0,0.13254879273672546,1.0,1.0,Built-in
Random Forest,ch1,0.06462333226688974,0.478994390594573,9.0,Built-in
Random Forest,ch2,0.01605555585918913,0.1064671560387236,12.0,Built-in
Random Forest,ch3,0.09778977844873736,0.7333894934803232,5.0,Built-in
Random Forest,ch4,0.06851871739003379,0.5088729881913279,8.0,Built-in
Random Forest,ch5,0.0021750323709734507,0.0,14.0,Built-in
Random Forest,ch6,0.08376702042123713,0.6258313622416396,7.0,Built-in
Random Forest,ch7,0.09133330441966463,0.6838666906482221,6.0,Built-in
Random Forest,ch8,0.04053748063222543,0.29424976432089966,10.0,Built-in
Random Forest,ch9,0.10035057919399874,0.7530314884498422,4.0,Built-in
Random Forest,ch10,0.02795839643749961,0.19776497965689735,11.0,Built-in
Random Forest,ch11,0.132150482247973,0.996944856943337,2.0,Built-in
Random Forest,ch12,0.13145309802334215,0.9915957420395834,3.0,Built-in
Random Forest,ch13,0.010738429551510411,0.06568344087424578,13.0,Built-in
Support Vector Machine,ch0,0.033846153846153804,0.4757281553398059,3.0,Permutation
Support Vector Machine,ch1,0.0007692307692307332,0.05825242718446622,12.0,Permutation
Support Vector Machine,ch2,0.07538461538461534,1.0,1.0,Permutation
Support Vector Machine,ch3,0.03384615384615379,0.4757281553398057,4.0,Permutation
Support Vector Machine,ch4,0.030769230769230715,0.4368932038834951,5.0,Permutation
Support Vector Machine,ch5,0.012307692307692252,0.203883495145631,10.0,Permutation
Support Vector Machine,ch6,0.02230769230769227,0.3300970873786409,7.0,Permutation
Support Vector Machine,ch7,-0.002307692307692366,0.019417475728155272,13.0,Permutation
Support Vector Machine,ch8,-0.0038461538461538993,0.0,14.0,Permutation
Support Vector Machine,ch9,0.003846153846153799,0.09708737864077675,11.0,Permutation
Support Vector Machine,ch10,0.014615384615384575,0.2330097087378642,9.0,Permutation
Support Vector Machine,ch11,0.03461538461538458,0.4854368932038837,2.0,Permutation
Support Vector Machine,ch12,0.024615384615384574,0.35922330097087385,6.0,Permutation
Support Vector Machine,ch13,0.016923076923076884,0.2621359223300972,8.0,Permutation
Logistic Regression,ch0,0.5530624255413216,0.5767069558127773,3.0,Coefficients
Logistic Regression,ch1,0.34929499530732716,0.28984240770142666,10.0,Coefficients
Logistic Regression,ch2,0.8537386032629218,1.0,1.0,Coefficients
Logistic Regression,ch3,0.5343655214354557,0.5503853844936938,4.0,Coefficients
Logistic Regression,ch4,0.5006615165329902,0.5029367607132113,6.0,Coefficients
Logistic Regression,ch5,0.23021918674247807,0.12220704038230511,13.0,Coefficients
Logistic Regression,ch6,0.4980944291966065,0.4993228055886439,7.0,Coefficients
Logistic Regression,ch7,0.3398014623141927,0.2764773765532772,11.0,Coefficients
Logistic Regression,ch8,0.4913051281644793,0.48976480227900504,8.0,Coefficients
Logistic Regression,ch9,0.37197956533296034,0.32177782997195753,9.0,Coefficients
Logistic Regression,ch10,0.14341231311814198,0.0,14.0,Coefficients
Logistic Regression,ch11,0.5689651581034111,0.5990948820133523,2.0,Coefficients
Logistic Regression,ch12,0.5284002390283512,0.5419874376770433,5.0,Coefficients
Logistic Regression,ch13,0.29256561572707235,0.20997857559028216,12.0,Coefficients
Gradient Boosting,ch0,0.12235998697943655,0.2566631392192939,3.0,Built-in
Gradient Boosting,ch1,0.0,0.0,12.5,Built-in
Gradient Boosting,ch2,0.0,0.0,12.5,Built-in
Gradient Boosting,ch3,0.0,0.0,12.5,Built-in
Gradient Boosting,ch4,2.5630796723948536e-17,5.3763333179871816e-17,9.0,Built-in
Gradient Boosting,ch5,2.0666729374250997e-17,4.335067181301918e-17,10.0,Built-in
Gradient Boosting,ch6,0.08775123373389623,0.18406758350091088,4.0,Built-in
Gradient Boosting,ch7,0.27001434696654514,0.5663839269476868,2.0,Built-in
Gradient Boosting,ch8,9.857219451542264e-17,2.067657042846454e-16,7.0,Built-in
Gradient Boosting,ch9,0.043140658426349926,0.09049213793684928,5.0,Built-in
Gradient Boosting,ch10,1.0475195182831141e-16,2.1972840516991092e-16,6.0,Built-in
Gradient Boosting,ch11,0.0,0.0,12.5,Built-in
Gradient Boosting,ch12,0.4767337738937719,1.0,1.0,Built-in
Gradient Boosting,ch13,3.5913507662607736e-17,7.533241743978088e-17,8.0,Built-in
K-Nearest Neighbors,ch0,0.06000000000000002,0.5714285714285714,2.0,Permutation
K-Nearest Neighbors,ch1,0.013076923076923097,0.08730158730158752,12.0,Permutation
K-Nearest Neighbors,ch2,0.10153846153846158,1.0,1.0,Permutation
K-Nearest Neighbors,ch3,0.056923076923076944,0.5396825396825397,3.0,Permutation
K-Nearest Neighbors,ch4,0.046923076923076935,0.43650793650793646,6.0,Permutation
K-Nearest Neighbors,ch5,0.03076923076923076,0.2698412698412697,9.0,Permutation
K-Nearest Neighbors,ch6,0.05615384615384618,0.5317460317460317,4.0,Permutation
K-Nearest Neighbors,ch7,0.03153846153846155,0.2777777777777778,8.0,Permutation
K-Nearest Neighbors,ch8,0.021538461538461562,0.1746031746031748,11.0,Permutation
K-Nearest Neighbors,ch9,0.02692307692307694,0.23015873015873023,10.0,Permutation
K-Nearest Neighbors,ch10,0.00461538461538461,0.0,14.0,Permutation
K-Nearest Neighbors,ch11,0.05384615384615386,0.5079365079365079,5.0,Permutation
K-Nearest Neighbors,ch12,0.03615384615384617,0.3253968253968254,7.0,Permutation
K-Nearest Neighbors,ch13,0.008461538461538454,0.039682539682539646,13.0,Permutation
Naive Bayes,ch0,0.11769230769230768,1.0,1.0,Permutation
Naive Bayes,ch1,0.09307692307692304,0.8012422360248446,4.0,Permutation
Naive Bayes,ch2,0.054615384615384566,0.4906832298136644,10.0,Permutation
Naive Bayes,ch3,0.07076923076923074,0.6211180124223602,8.0,Permutation
Naive Bayes,ch4,0.011538461538461497,0.14285714285714277,12.0,Permutation
