feature,f_statistic,p_value
ch0,409.74864419325314,4.054674779462914e-56
ch1,291.5517926871099,3.4088507349334375e-48
ch2,105.40300766434882,1.0499236691399206e-27
ch3,328.68291529667886,6.16028744692073e-51
ch4,238.43323431180926,1.0041259411853234e-43
ch5,19.03776087718354,5.8706499875178807e-08
ch6,385.2517102771148,1.1850676456421397e-54
ch7,315.63291016055246,5.282898821894682e-50
ch8,256.7699146534813,2.3760545586489895e-45
ch9,331.5271573139237,3.893319166860544e-51
ch10,228.2538449759943,8.862948017644042e-43
ch11,277.01388994496506,4.848079421810334e-47
ch12,276.06109871050234,5.792192561493946e-47
ch13,87.61815705029021,1.228922154712196e-24
