feature,pearson_correlation,spearman_correlation
ch0,-0.3093436651608705,-0.42224772709467484
ch1,-0.1383540014675589,-0.4136496562221752
ch2,-0.3524356667433752,-0.40885004816663595
ch3,-0.43781621520315134,-0.4487191850206241
ch4,-0.47960195993959154,-0.44082780490476814
ch5,-0.4603964327836206,-0.4788124330743729
ch6,-0.2947180156349434,-0.4208343455813872
ch7,-0.17080944981678217,-0.4038737674219358
ch8,-0.1136440090118801,-0.35902834982324755
ch9,-0.2314119996712078,-0.4255456172923459
ch10,-0.2555994736231767,-0.4276067986658904
ch11,-0.384107581040287,-0.4633830182209831
ch12,-0.38027981025074886,-0.4630296728426612
ch13,-0.44912254295233217,-0.3809652087273991
