feature,ks_statistic,ks_p_value,mw_statistic,mw_p_value,cohens_d,domain_shift_risk
ch0,0.3,0.31829364678533845,551.0,0.4254645674266968,-0.5791989344885402,Low
ch1,0.3,0.31829364678533845,573.0,0.5359349718014847,-0.6297409671746356,Low
ch2,0.23846153846153847,0.6007465917881196,762.0,0.36697111803549975,0.3544939855238847,Low
ch3,0.35384615384615387,0.15847483501570073,512.0,0.26590994477526875,-0.4974557639513721,Low
ch4,0.3923076923076923,0.08902697477415226,457.0,0.11934155245013921,-0.6427739779127687,Low
ch5,0.3,0.31829364678533845,843.0,0.11934155245013921,0.8146685699597618,Low
ch6,0.3153846153846154,0.2644167512162084,530.0,0.3335987732804647,-0.6152263362593405,Low
ch7,0.38461538461538464,0.10040735695663795,502.0,0.23269621413203212,-0.8900726394339367,Low
ch8,0.3,0.31829364678533845,561.0,0.47395099566145604,-0.6126652342032719,Low
ch9,0.36923076923076925,0.12677054076178482,506.0,0.24561029424016134,-0.7444372965380248,Low
ch10,0.27692307692307694,0.4128179352639323,552.0,0.4301788966246195,-0.5116633872929195,Low
ch11,0.4076923076923077,0.06944585789071399,430.0,0.0757322743412687,-0.6066467752274812,Low
ch12,0.26153846153846155,0.4843855578771741,582.0,0.5849617733278931,-0.1969108673544988,Low
ch13,0.13846153846153847,0.985951616711723,662.0,0.9258653960843908,0.049688472334414424,Low
