,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13
ADB_2_mean,10167.678834797123,4447.873296510605,30365.818672617974,26077.349303044906,19884.04603474888,39146.11615502687,8688.847734433759,2597.8990833972834,21236.628181121898,6822.686607771594,9293.817909361054,4228.124710905008,25542.66596548583,2885.213977521561
ADB_2_std,1708.7755042479757,950.9298375498648,6908.336223113179,2192.747070440889,1277.3013555255266,1347.5410960876086,1452.444763720993,310.96631451488497,4130.871960914757,885.2886440627675,931.4392188415493,863.7767225096628,3537.418488717517,347.87794876277786
ADB_3_mean,12020.093653945,5052.672188655876,30549.696435509766,27073.596546167344,20560.100580461196,38424.344698272,9757.11348865254,2775.074824582492,24754.026029648663,7415.409084966397,9801.371255772528,4570.366957489611,27276.96975386593,3170.3680838109794
ADB_3_std,5449.4675482947505,1294.0540743912748,8485.625142018225,2701.244998501131,1495.6858349479137,1792.859417750661,1905.9137307612043,474.18667194544963,5904.511803417445,1271.5759928109865,1455.3473788560514,1117.1047274793293,5079.828498431921,431.87015346581313
ADB_4_mean,11307.737107648029,5395.531949320865,31644.19588977776,27085.701464562495,20342.906925345604,38360.659648851084,9683.605202323291,2853.2967651710237,25453.767832893634,7503.926667852897,10105.95357340654,4600.762687348391,27662.410483822256,3126.8752098059354
ADB_4_std,2432.1708758710097,1485.4258393183013,6696.94791265418,3176.4020832347856,1702.2427476169894,2067.579232618513,2066.1546089367266,520.6583163345625,6658.157676607035,1436.7308387058965,1435.7476078724192,1426.628202634738,6020.406145821978,357.3870125737042
ADB_5_mean,13389.82022916057,7061.517048085402,33179.681437773914,29734.508976958965,21758.02864592197,38863.9340849554,11454.10082766341,3488.628392739841,30055.54418609864,8922.64309865089,11385.776633119074,5545.709450505412,32514.98476992915,3149.4803221907723
ADB_5_std,2705.772914151458,3432.4552893546793,10587.742969031564,3618.448549303519,1715.5842876798042,1520.3446845628005,2371.3212542542296,946.8043656833837,8687.250691651427,2187.3343494076826,2526.236410212855,2023.8346645558195,8901.853946756284,364.39707514349556
UFB_mean,21338.966778313355,17506.437168692286,49419.285942410745,37296.76639155796,24887.72550184439,38378.51802727355,18727.4243749854,6622.553466126279,68254.15444863123,15485.155468497818,17560.732876323826,9432.844508431572,50116.17356868244,3677.237962460685
UFB_std,1957.6574943073244,5339.030763497894,15383.792793551207,2136.1980396033478,1176.2795231447699,2599.9077719348525,1942.3867862672917,1117.242894675948,22740.96679043106,2224.7327793351164,3064.2761869714373,1467.7464108453453,7366.6692113843,245.91777068228342
WFB_mean,8842.12497222536,4060.0033745783935,25828.325712166064,23562.16810195121,18638.844320386914,37822.86982431628,7623.826793241479,2498.058832042935,21086.168031593763,6292.788378956769,8847.990783740363,3219.0286363234245,20936.87102510202,2669.6228068929872
WFB_std,1845.5127029044982,1296.0190848969887,9304.729430243668,3306.149809418724,1998.962173288783,1872.172665288396,1574.3086515545015,522.6297878451895,6857.297257214075,1195.9294367553614,1637.9844306695218,1090.0030076090043,5892.917738233668,423.2250139315067
