feature,coefficient_variation,range_ratio,relative_std,mean_across_classes,std_across_classes
ch0,0.4217072837618057,0.654531776270772,0.4217072837618057,14222.360889708436,5997.673179479083
ch1,0.7099128291947542,0.8343593708444559,0.7099128291947542,9852.608880292415,6994.493445157747
ch2,0.36629165127065555,0.6122306586586183,0.36629165127065555,37033.4560855196,13565.045781824283
ch3,0.22853993441117051,0.4357030714963038,0.22853993441117051,29709.662506895558,6789.844320703923
ch4,0.1494415081681933,0.3101872667216539,0.1494415081681933,21406.83726620373,3199.070046172569
ch5,0.02111707483262479,0.047985807976116554,0.02111707483262479,38864.97246630105,820.7145319387814
ch6,0.4289204615814111,0.6591541726109432,0.4289204615814111,12342.665664982322,5294.021854169252
ch7,0.47523445996735103,0.6756852507293999,0.47523445996735103,4133.6248894720475,1964.4409920558496
ch8,0.6140070681879558,0.7663179803444692,0.6140070681879558,41093.952861928614,25231.977517006842
ch9,0.4395177854126924,0.6571611427053166,0.4395177854126924,10110.236761444694,4443.628871388163
ch10,0.3486422300610212,0.5705091854945338,0.3486422300610212,12673.439664695528,4418.496267243249
ch11,0.5003526348792765,0.7458457781039622,0.5003526348792765,6058.204871639994,3031.23877016354
ch12,0.4131513577777584,0.6601147080836394,0.4131513577777584,34493.47940838209,14251.027852052212
ch13,0.1635497166478057,0.33550067082033985,0.1635497166478057,3150.0033035597685,515.182147736852
