feature,train_mean,test_mean,train_std,test_std
ch0,12424.077097607304,16894.471962453175,4804.498096471049,9103.96177556333
ch1,7002.79808166702,13266.951201193058,5173.365130697457,11407.625540998248
ch2,32956.58691206889,30398.396620883657,12491.078114633516,11453.673303129824
ch3,27979.390837002393,32454.130979106056,5336.814319204524,9833.370874984108
ch4,20774.545766865456,23284.605546450075,2633.672179980456,4564.686022638669
ch5,38343.360209822895,37465.45967159168,2139.42811072603,2908.4297380305475
ch6,10629.323367457122,14887.616494452182,4001.375245901892,8034.305042364395
ch7,3379.4076569946396,5668.101575472104,1508.5340816377368,3645.6889570532658
ch8,31005.76926983529,52989.75788301352,18666.38175190518,43886.836682215966
ch9,8512.747255915065,12817.250911582854,3356.503964406427,6947.867951078068
ch10,10975.818773206802,14440.761925713683,3426.690153641761,6886.7131000138625
ch11,4932.867074171601,7550.950849308911,2414.8611431781146,3222.6726548833803
ch12,29655.224699292557,35792.10923104343,11229.809006611777,19100.893468743598
ch13,3026.4905729525876,3082.0915886850535,477.55222862888473,582.9456794540772
