method,feature,raw_score,normalized_score,ranking,method_type
Random Forest,ch0,0.10908437299039601,0.9078527954646147,2.0,Built-in
Random Forest,ch1,0.06659553389543113,0.45151986153026435,9.0,Built-in
Random Forest,ch2,0.08064110485563322,0.6023702199203028,4.0,Built-in
Random Forest,ch3,0.058241167712844114,0.36179341777544705,10.0,Built-in
Random Forest,ch4,0.04329366810590689,0.20125628623907293,13.0,Built-in
Random Forest,ch5,0.02455483659283366,0.0,14.0,Built-in
Random Forest,ch6,0.11766413450968637,1.0,1.0,Built-in
Random Forest,ch7,0.09862759640076449,0.7955463252883546,3.0,Built-in
Random Forest,ch8,0.0797475382676442,0.5927732558363616,5.0,Built-in
Random Forest,ch9,0.07406373215666853,0.531728803368775,7.0,Built-in
Random Forest,ch10,0.044722745856888554,0.21660467552945126,12.0,Built-in
Random Forest,ch11,0.0771185245485726,0.5645374751153069,6.0,Built-in
Random Forest,ch12,0.051700429052120425,0.29154545321056957,11.0,Built-in
Random Forest,ch13,0.07394461505460992,0.5304494778371296,8.0,Built-in
Support Vector Machine,ch0,0.048928571428571474,0.6768292682926828,4.0,Permutation
Support Vector Machine,ch1,0.013571428571428634,0.07317073170731703,11.0,Permutation
Support Vector Machine,ch2,0.06785714285714291,1.0,1.0,Permutation
Support Vector Machine,ch3,0.0503571428571429,0.7012195121951218,3.0,Permutation
Support Vector Machine,ch4,0.021785714285714318,0.21341463414634096,8.0,Permutation
Support Vector Machine,ch5,0.017142857142857182,0.13414634146341423,10.0,Permutation
Support Vector Machine,ch6,0.0528571428571429,0.7439024390243901,2.0,Permutation
Support Vector Machine,ch7,0.011428571428571477,0.03658536585365825,12.0,Permutation
Support Vector Machine,ch8,0.01928571428571433,0.17073170731707285,9.0,Permutation
Support Vector Machine,ch9,0.009285714285714352,0.0,14.0,Permutation
Support Vector Machine,ch10,0.009642857142857198,0.006097560975609565,13.0,Permutation
Support Vector Machine,ch11,0.026428571428571468,0.29268292682926794,7.0,Permutation
Support Vector Machine,ch12,0.03250000000000003,0.39634146341463367,5.0,Permutation
Support Vector Machine,ch13,0.030000000000000072,0.35365853658536606,6.0,Permutation
K-Nearest Neighbors,ch0,0.03714285714285713,0.29076086956521746,6.0,Permutation
K-Nearest Neighbors,ch1,0.012142857142857112,0.10054347826086954,11.5,Permutation
K-Nearest Neighbors,ch2,0.13035714285714284,1.0,1.0,Permutation
K-Nearest Neighbors,ch3,0.03285714285714283,0.2581521739130434,7.0,Permutation
K-Nearest Neighbors,ch4,0.06285714285714285,0.4864130434782609,2.0,Permutation
K-Nearest Neighbors,ch5,0.04071428571428567,0.31793478260869545,5.0,Permutation
K-Nearest Neighbors,ch6,0.04178571428571427,0.3260869565217392,4.0,Permutation
K-Nearest Neighbors,ch7,0.011071428571428543,0.09239130434782608,13.0,Permutation
K-Nearest Neighbors,ch8,0.01749999999999996,0.14130434782608686,8.0,Permutation
K-Nearest Neighbors,ch9,0.012142857142857112,0.10054347826086954,11.5,Permutation
K-Nearest Neighbors,ch10,0.01607142857142855,0.13043478260869568,9.0,Permutation
K-Nearest Neighbors,ch11,0.012857142857142822,0.10597826086956516,10.0,Permutation
K-Nearest Neighbors,ch12,-0.001071428571428601,0.0,14.0,Permutation
K-Nearest Neighbors,ch13,0.05535714285714281,0.4293478260869563,3.0,Permutation
Neural Network (sklearn-MLP),ch0,0.21642857142857136,0.6732522796352584,3.0,Permutation
Neural Network (sklearn-MLP),ch1,0.1253571428571428,0.28571428571428575,11.0,Permutation
Neural Network (sklearn-MLP),ch2,0.2107142857142857,0.6489361702127661,5.0,Permutation
Neural Network (sklearn-MLP),ch3,0.29321428571428565,1.0,1.0,Permutation
Neural Network (sklearn-MLP),ch4,0.21499999999999994,0.6671732522796353,4.0,Permutation
Neural Network (sklearn-MLP),ch5,0.07607142857142854,0.07598784194528885,13.0,Permutation
Neural Network (sklearn-MLP),ch6,0.1289285714285714,0.30091185410334353,10.0,Permutation
Neural Network (sklearn-MLP),ch7,0.17857142857142855,0.5121580547112463,7.0,Permutation
Neural Network (sklearn-MLP),ch8,0.17964285714285708,0.5167173252279635,6.0,Permutation
Neural Network (sklearn-MLP),ch9,0.22642857142857142,0.7158054711246203,2.0,Permutation
Neural Network (sklearn-MLP),ch10,0.1296428571428571,0.303951367781155,9.0,Permutation
Neural Network (sklearn-MLP),ch11,0.11107142857142853,0.22492401215805477,12.0,Permutation
Neural Network (sklearn-MLP),ch12,0.05821428571428566,0.0,14.0,Permutation
Neural Network (sklearn-MLP),ch13,0.1371428571428571,0.3358662613981763,8.0,Permutation
Naive Bayes,ch0,0.0057142857142856605,0.6969696969696947,7.0,Permutation
Naive Bayes,ch1,0.002499999999999958,0.42424242424242325,9.0,Permutation
Naive Bayes,ch2,0.006071428571428538,0.7272727272727266,6.0,Permutation
Naive Bayes,ch3,0.003214285714285681,0.48484848484848453,8.0,Permutation
Naive Bayes,ch4,0.008928571428571397,0.969696969696969,2.0,Permutation
Naive Bayes,ch5,0.006428571428571395,0.7575757575757569,5.0,Permutation
Naive Bayes,ch6,0.00857142857142853,0.9393939393939379,3.0,Permutation
Naive Bayes,ch7,-0.0017857142857143349,0.060606060606059386,13.0,Permutation
Naive Bayes,ch8,-0.0025000000000000356,0.0,14.0,Permutation
Naive Bayes,ch9,0.0014285714285713791,0.3333333333333318,11.5,Permutation
Naive Bayes,ch10,0.0024999999999999354,0.42424242424242137,10.0,Permutation
Naive Bayes,ch11,0.009285714285714263,1.0,1.0,Permutation
Naive Bayes,ch12,0.0014285714285713791,0.3333333333333318,11.5,Permutation
Naive Bayes,ch13,0.007857142857142818,0.8787878787878775,4.0,Permutation
Random Forest (Tuned),ch0,0.12257601989021766,1.0,1.0,Built-in
Random Forest (Tuned),ch1,0.05474160526990984,0.34677265555611386,12.0,Built-in
Random Forest (Tuned),ch2,0.06449778488633798,0.44072206660990976,6.0,Built-in
Random Forest (Tuned),ch3,0.06338059693883352,0.42996384424921186,8.0,Built-in
